,0,1
0,"[array([ -2.59341219, -37.96621474]), array([ -1.3552846 , -38.16794607]), array([  1.89135193e-02,  -4.04116226e+01]), array([  1.75236548, -41.7438242 ]), array([  2.95084296, -42.73963268]), array([  4.45263182, -43.86875481])]","[0, 6]"
1,"[array([ 12.29405734,  11.60413679]), array([ 15.30699528,  11.87596715]), array([ 15.83616389,  13.00363988]), array([ 17.42888465,  12.89514335]), array([ 20.21366142,  13.4278653 ]), array([ 22.44385861,  14.13867623]), array([ 23.15486196,  14.4336044 ]), array([ 25.51249471,  13.87815992]), array([ 26.69753239,  15.48028736]), array([ 28.97858121,  15.24590574]), array([ 32.08086306,  16.03541317])]","[0, 11]"
2,"[array([ 33.27053134,  40.26801384]), array([ 34.32092713,  38.23516255]), array([ 34.80471887,  37.44465488]), array([ 35.51184869,  34.97652941]), array([ 35.67130759,  33.73290571]), array([ 35.07325945,  31.79151793]), array([ 35.68474128,  31.32855626]), array([ 36.28216429,  29.50495718]), array([ 36.3821172 ,  28.03525664]), array([ 35.35639487,  26.35237225]), array([ 36.64318621,  26.56060746]), array([ 37.13423512,  24.44627506]), array([ 35.99159999,  23.56373977]), array([ 36.27636794,  23.76201761])]","[0, 14]"
3,"[array([ 37.77059644,  17.21615379]), array([ 36.67579987,  16.67041897]), array([ 36.87235644,  15.08239076]), array([ 36.8563511 ,  12.17781504]), array([ 35.78359507,  12.14344061]), array([ 36.3979491 ,   9.06884353]), array([ 35.44065588,   8.51654538]), array([ 35.17929391,   7.10691806]), array([ 34.88987193,   4.83209995]), array([ 33.96158191,   4.62934124])]","[16, 26]"
4,"[array([  6.78059476, -21.72675665]), array([  8.00034268, -22.28222196]), array([  7.75716176, -21.03108292]), array([  8.84422367, -21.47019389]), array([  9.59902556, -20.84825995]), array([ 10.53476196, -20.57853278]), array([ 10.71772972, -19.47420069]), array([ 11.86892156, -18.18213924]), array([ 12.30245464, -18.96514896]), array([ 12.57402961, -17.12953792]), array([ 12.79761711, -16.99962678]), array([ 13.78494746, -17.16012468]), array([ 15.14508766, -14.88433313]), array([ 16.07963563, -15.15714625]), array([ 16.87245671, -11.71286791]), array([ 17.70762289, -12.38314077]), array([ 17.08591126, -11.26432784]), array([ 18.37740921, -10.23570533]), array([ 19.24742192,  -9.22904097]), array([ 19.55257267,  -8.70863568]), array([ 21.26830152,  -7.10441146]), array([ 22.83328039,  -5.4411337 ]), array([ 23.47317259,  -4.85525074]), array([ 24.83046715,  -3.39377274]), array([ 26.16578424,  -2.12519651]), array([ 27.00488505,  -0.71507462]), array([ 27.81313552,   0.21670016]), array([ 28.61587616,   0.9125949 ]), array([ 29.45243341,   0.74367559])]","[0, 29]"
5,"[array([  5.33154572, -45.85920315]), array([  6.98432908, -45.93914073]), array([  7.82299163, -46.61486032]), array([  8.96599224, -47.60792841]), array([ 10.66703447, -48.69677266]), array([ 12.23953175, -49.45139457]), array([ 13.46684535, -50.96487239]), array([ 14.40707304, -51.36124784]), array([ 14.75179497, -52.90447733]), array([ 16.0134514 , -54.55896763]), array([ 17.52247596, -54.90412521]), array([ 18.848079  , -57.30823446]), array([ 19.39898566, -58.07130192]), array([ 21.85012202, -59.78152578]), array([ 22.57016713, -61.41602143]), array([ 23.44239455, -63.24703246]), array([ 25.47889556, -63.67652365]), array([ 26.84576158, -64.75280999]), array([ 27.02764176, -67.30026244]), array([ 29.34053946, -68.95282342]), array([ 30.00151098, -69.91853355]), array([ 32.16161585, -72.36565037]), array([ 32.90360967, -75.05899596]), array([ 34.42279775, -76.16487768]), array([ 35.93610058, -77.41800419]), array([ 36.02483163, -79.69220723]), array([ 37.62788194, -81.60248465]), array([ 38.48920727, -83.54153811]), array([ 38.43122608, -85.16918187]), array([ 40.0321371 , -88.06719488]), array([ 40.0153733 , -89.98370003]), array([ 40.22709091, -92.47879593]), array([ 40.46503302, -93.46549301]), array([ 41.76512218, -96.70137475]), array([ 42.99168719, -98.26569627]), array([  42.14667225, -101.05408763]), array([  43.52210294, -103.22307748]), array([  44.657086  , -106.37853222]), array([  44.79429941, -107.89670454]), array([  44.69769246, -111.23131512]), array([  45.12184937, -113.54326629]), array([  45.65809166, -116.60063408]), array([  45.77352844, -118.95535007]), array([  45.90399742, -121.32682099]), array([  45.20137512, -123.71725453]), array([  45.35986766, -124.99385379]), array([  45.58318421, -128.44636377]), array([  45.65106826, -131.10152597]), array([  45.0579973, -134.251488 ]), array([  45.12856212, -135.80669559]), array([  43.74220008, -138.72878625]), array([  45.50698068, -141.17741887]), array([  44.16892965, -143.78935558]), array([  45.38262584, -146.1281936 ]), array([  44.41513015, -149.59309236]), array([  45.1904871 , -151.43587136]), array([  44.65937798, -153.32538046]), array([  45.49996511, -157.63374042]), array([  44.44923302, -159.455499  ]), array([  43.86761722, -162.74374575]), array([  45.42996585, -164.13244161]), array([  45.07340756, -166.51736783]), array([  44.78522722, -170.41113868]), array([  44.18998283, -172.62170357]), array([  43.3417709 , -175.93419742]), array([  42.9385534 , -177.80219631]), array([  42.49072038, -180.99504681]), array([  40.86549073, -183.72032734]), array([  40.02042749, -185.40294217]), array([  40.27624774, -188.5177771 ]), array([  39.82065801, -191.19574205]), array([  39.98935104, -193.56492409]), array([  38.95705208, -196.51660386]), array([  38.54026437, -199.03375393]), array([  37.76478243, -201.70001488]), array([  38.0856566 , -205.41489772]), array([  37.21122671, -207.63088941]), array([  36.27250162, -210.90184779]), array([  35.1214311 , -213.84795358]), array([  34.51708402, -217.28906884]), array([  33.71703379, -219.56256359]), array([  33.29077688, -221.8795394 ]), array([  32.00507108, -223.68485705]), array([  30.85562189, -227.87818227]), array([  29.39591834, -230.44483093]), array([  29.15073726, -232.36098532]), array([  27.88237488, -234.44636929]), array([  26.53377343, -237.91697596]), array([  25.55480924, -240.85121292]), array([  24.77215525, -243.2298123 ]), array([  23.143091  , -245.52748516]), array([  23.79221612, -248.30554729]), array([  21.60882406, -250.32342341]), array([  21.56375073, -253.99940204])]","[6, 99]"
6,"[array([ -0.49518364, -54.61577198]), array([ -1.23136819, -55.57065919]), array([ -2.3194063 , -56.33713532]), array([ -3.08246142, -58.35138282]), array([ -3.33788139, -59.90143533]), array([ -4.92259223, -59.92618559]), array([ -5.45074177, -61.67353425]), array([ -6.63439003, -62.52433429]), array([ -7.22646419, -63.82125618]), array([ -8.7673032 , -63.84157682]), array([ -9.4098058, -65.1347923]), array([-12.13227391, -65.32780776]), array([-13.05922663, -65.83497401]), array([-12.7635222 , -65.39977235]), array([-14.98082922, -67.61360578]), array([-15.70775215, -67.00092483]), array([-16.18602567, -68.73751345]), array([-18.36564206, -67.94770164]), array([-19.81713426, -67.83208975]), array([-20.54995706, -68.62778959]), array([-21.66054267, -69.91930617]), array([-23.85206868, -69.29348015]), array([-23.63597331, -69.73774072]), array([-26.3780464 , -69.30280826]), array([-27.54787656, -70.28895814]), array([-28.74292081, -70.93247543]), array([-29.07572122, -70.93479318]), array([-29.45802663, -71.67977555]), array([-29.93863114, -72.60946868]), array([-31.14589197, -72.85147245]), array([-31.48475099, -72.52739255]), array([-33.59460296, -72.07967337]), array([-34.21197878, -72.77142149]), array([-36.26139865, -74.40844852]), array([-36.62449395, -75.32591767]), array([-37.75376606, -74.83026538]), array([-40.357346  , -76.24782711]), array([-41.12026251, -76.85285638]), array([-41.41814567, -76.68887665]), array([-43.40633043, -76.6601613 ]), array([-45.81346243, -78.21394872]), array([-47.31144439, -78.68452469]), array([-48.62644047, -79.0296447 ]), array([-49.73740523, -79.43645269]), array([-51.28195531, -79.3227993 ]), array([-52.49539375, -79.67884695]), array([-54.13946125, -79.637351  ]), array([-56.21188963, -80.15215709]), array([-57.23288001, -80.09875596]), array([-58.73912557, -80.21842883]), array([-60.3153617 , -81.29167801]), array([-61.41464106, -80.9048698 ]), array([-62.13513269, -82.19828329]), array([-63.52105481, -81.24587226]), array([-65.43005681, -82.5235216 ]), array([-66.21315324, -82.0256869 ]), array([-67.46774292, -83.47738473]), array([-68.27826828, -83.83372251]), array([-70.41235549, -84.57915807]), array([-70.96044031, -83.1681258 ]), array([-72.43459967, -84.11531114]), array([-74.62654691, -84.04973781]), array([-75.4288693 , -84.19074068]), array([-76.78183785, -84.34344531]), array([-78.21389868, -85.23787525]), array([-79.58737907, -84.24691927]), array([-81.11898735, -84.92416111]), array([-81.37337793, -84.7057762 ]), array([-82.76492562, -83.99044804]), array([-84.12514687, -84.27417096]), array([-85.2770155 , -85.49239577]), array([-86.16314166, -85.44549526]), array([-86.14741774, -83.85720477]), array([-87.14581214, -83.92917612]), array([-88.3266774, -84.3703211]), array([-89.48065071, -83.39818692]), array([-90.1220987 , -82.97748007]), array([-90.17711817, -83.21104209]), array([-91.51354103, -82.72068951]), array([-92.35707841, -82.54317051]), array([-93.16430385, -82.77095981]), array([-93.36053079, -82.30337267]), array([-93.57958837, -82.00442939]), array([-94.78808333, -81.25457325]), array([-95.33925709, -80.95819816]), array([-95.83365797, -80.76492323]), array([-97.07975304, -82.02326067]), array([-98.56701248, -81.5708545 ]), array([-97.2288114 , -82.30980272]), array([-98.59314043, -82.02588655]), array([-99.40274698, -81.80155897])]","[9, 99]"
7,"[array([ 43.66096378,  21.38269942]), array([ 44.45884806,  23.31733068]), array([ 45.64340139,  23.63041135]), array([ 47.63078602,  24.60343832]), array([ 48.77988863,  24.85671521]), array([ 50.11447501,  25.6817169 ]), array([ 52.43588145,  25.22373095]), array([ 53.97791039,  26.43814693]), array([ 54.43227598,  26.84180712]), array([ 55.77178136,  28.08165236]), array([ 57.21602562,  27.06266858]), array([ 58.28037179,  27.34936389]), array([ 60.48979091,  28.92266133]), array([ 61.11328988,  28.17387806]), array([ 62.89437207,  28.38191874]), array([ 64.94492214,  29.4496966 ]), array([ 66.29394174,  30.13947348]), array([ 67.82230821,  29.85734581]), array([ 69.06702645,  30.09206888]), array([ 71.51077015,  29.17647305]), array([ 73.5678365 ,  29.23953368]), array([ 74.95382316,  29.08332599]), array([ 77.35319225,  29.20848111]), array([ 77.74674108,  29.99278094]), array([ 80.86326401,  30.48449377]), array([ 82.46281283,  31.23275898]), array([ 83.81351215,  30.33184562]), array([ 85.81672932,  30.51387869]), array([ 88.42588404,  31.45671846]), array([ 89.86065446,  30.57270065]), array([ 91.81423954,  30.65732408]), array([ 93.43162624,  30.34996501]), array([ 95.58080541,  30.19804688]), array([ 97.33896249,  30.57383095]), array([ 99.95661091,  30.72402745]), array([ 101.20677361,   29.89965971]), array([ 102.39534957,   29.12216139]), array([ 104.4351183 ,   29.16983479]), array([ 107.6276146 ,   28.63003707]), array([ 107.71427539,   29.72619258]), array([ 110.43273621,   29.16614985]), array([ 111.62726795,   28.62527609]), array([ 112.75748603,   28.29398697]), array([ 113.10972101,   28.117776  ]), array([ 115.90030106,   28.0663982 ]), array([ 117.22307236,   27.92529378]), array([ 118.37190225,   28.27387147]), array([ 120.17021369,   28.73133833]), array([ 121.08258541,   28.36388947]), array([ 123.19586918,   28.02409042]), array([ 124.86172181,   27.66552222]), array([ 126.16647448,   27.8858778 ]), array([ 127.92868465,   27.42393561]), array([ 129.08783649,   27.5375695 ]), array([ 131.38793578,   26.68861709]), array([ 132.27788392,   27.94731862]), array([ 134.48920597,   27.0423388 ]), array([ 136.6541867 ,   26.23504948]), array([ 137.36477169,   26.69536578]), array([ 139.15718985,   27.32633487]), array([ 142.09411601,   26.68501768]), array([ 143.08722715,   26.11610006]), array([ 145.64098406,   26.74936012]), array([ 146.92081544,   26.33887358]), array([ 147.82014718,   26.01611784]), array([ 149.46924076,   25.82188924]), array([ 151.52784945,   24.9370179 ]), array([ 153.55984764,   26.29590835]), array([ 154.05426568,   26.54753534]), array([ 154.63017705,   26.04651529]), array([ 157.65191076,   26.27445902]), array([ 159.73535442,   26.20038936]), array([ 162.13172328,   26.5439548 ]), array([ 164.37080125,   26.39713337]), array([ 165.62219174,   26.0173213 ]), array([ 166.72044381,   25.91452828]), array([ 168.33865156,   24.73841336]), array([ 169.92742893,   24.8862429 ]), array([ 171.75278366,   24.29863277]), array([ 174.2793219 ,   24.22768643]), array([ 176.77951281,   24.310708  ]), array([ 179.75769655,   23.46212426]), array([ 181.41535283,   23.81027405]), array([ 182.92372909,   24.77899996])]","[16, 99]"
8,"[array([ 32.17428765,  -4.93576863]), array([ 31.51787771,  -5.89278594]), array([ 31.66952741,  -8.22201172]), array([ 29.42550236,  -9.02086532]), array([ 30.10807442, -11.93825011]), array([ 29.59699578, -14.38955217]), array([ 28.24310128, -16.12268566]), array([ 27.87419068, -17.93213398]), array([ 28.16346233, -19.58201556]), array([ 27.58773701, -21.63493427]), array([ 26.21237406, -23.59460129]), array([ 25.22485713, -24.56621295]), array([ 25.0601195, -27.3760565]), array([ 24.51121193, -28.50097865]), array([ 23.22684787, -30.531637  ]), array([ 23.43185894, -32.69522617]), array([ 22.04161337, -34.65430769]), array([ 21.62048254, -36.24672923]), array([ 21.30365658, -37.62816391]), array([ 19.97649086, -41.08417231]), array([ 19.24211156, -43.7866457 ]), array([ 20.03995029, -44.23911214]), array([ 18.54216008, -46.48744536]), array([ 16.8790589 , -50.17533464]), array([ 17.47567289, -52.16478274]), array([ 15.61130517, -54.7743252 ]), array([ 14.79116702, -57.18712441]), array([ 14.274675  , -59.72160549]), array([ 12.08217887, -61.47722709]), array([ 11.75587982, -64.22185195]), array([  9.75437179, -68.75021453]), array([  8.00565324, -69.88049698]), array([  7.6959178 , -72.55457811]), array([  6.375805  , -75.79405584]), array([  5.05617999, -78.0564024 ]), array([  4.1869171 , -81.19993043]), array([  3.25897521, -82.47314384]), array([  2.62950777, -85.11551649]), array([  1.73592048, -87.39283422]), array([ -0.18437293, -89.93223462]), array([ -1.58253284, -91.86914709]), array([ -1.58419036, -95.00703293]), array([ -2.17365714, -97.09565701]), array([ -4.13255188, -98.1849843 ]), array([  -5.34689635, -101.47286908]), array([  -6.15714164, -104.08176419]), array([  -5.84848507, -105.39557953]), array([  -7.60498984, -107.92884827]), array([  -8.98713558, -110.64148566]), array([  -8.33499509, -112.23398479]), array([ -10.01090177, -114.28980497]), array([ -11.35325357, -117.05163709]), array([ -11.15708094, -118.91043951]), array([ -12.17948785, -120.78496597]), array([ -13.78079244, -123.65286792]), array([ -13.48108071, -125.50125324]), array([ -14.88624436, -129.0384517 ]), array([ -16.9374728 , -130.87595566]), array([ -16.28598722, -134.19785348]), array([ -17.41134128, -136.55822244]), array([ -18.11184945, -139.13817472]), array([ -18.57590707, -141.77835323]), array([ -19.66499272, -143.03610461]), array([ -19.81245188, -145.40933356]), array([ -18.81852243, -148.58517263]), array([ -19.33406453, -151.0691034 ]), array([ -19.13934235, -153.77127167]), array([ -21.01752223, -157.07316301]), array([ -22.22582307, -159.47677101]), array([ -21.65305539, -161.53235841])]","[30, 99]"
9,"[array([ 33.99989724,   4.52337282]), array([ 34.78513152,   5.36216404]), array([ 37.27683929,   6.88559482]), array([ 38.02701256,   7.67875435]), array([ 38.11659555,   9.03396167]), array([ 38.91517387,  11.03669334]), array([ 41.49329609,  12.44701982]), array([ 43.27517943,  13.63946746]), array([ 44.69268836,  14.9732671 ]), array([ 46.19809531,  15.89757771]), array([ 47.79872297,  17.59620501]), array([ 48.27445173,  18.61963872]), array([ 48.56660212,  19.86265826]), array([ 50.15892071,  20.81134714]), array([ 51.28731564,  21.44339062]), array([ 52.89419207,  22.72682277]), array([ 54.03811937,  23.27538669]), array([ 54.67802252,  25.01677243]), array([ 55.8942552 ,  26.65666279]), array([ 56.05938796,  26.99098049]), array([ 57.819486  ,  28.53882793]), array([ 59.32826091,  29.66020425]), array([ 59.96994966,  30.75462866]), array([ 60.29285281,  32.62377603]), array([ 61.92715739,  33.94892682]), array([ 61.94292674,  35.03577563]), array([ 63.79825641,  37.16179828]), array([ 64.74321589,  38.74181835]), array([ 65.31308266,  39.09821194]), array([ 67.21616679,  40.38516875]), array([ 67.34410499,  42.30013379]), array([ 68.90336207,  43.58433637]), array([ 69.95772756,  45.23611386]), array([ 71.3901198 ,  46.62581153]), array([ 72.00023785,  48.21783682]), array([ 74.68432601,  49.90218133]), array([ 74.83499357,  51.08924157]), array([ 75.77301119,  51.10390365]), array([ 77.73777429,  53.17997971]), array([ 78.06007114,  54.1229123 ]), array([ 79.23502305,  54.68567184]), array([ 81.25525054,  56.46050232]), array([ 81.59277941,  57.28425761]), array([ 83.11194526,  58.86690994]), array([ 84.80643721,  60.93807238]), array([ 86.09076854,  62.56830793]), array([ 87.32779118,  63.1217303 ]), array([ 86.78034679,  64.19813503]), array([ 88.56664585,  66.69753983]), array([ 88.71406179,  67.64527676]), array([ 91.51401926,  69.04840192]), array([ 90.66789291,  70.83264069]), array([ 92.1241489 ,  73.27870663]), array([ 93.13712856,  73.97189217]), array([ 93.71080893,  76.16419884]), array([ 93.68368386,  77.68374354]), array([ 95.40077571,  79.64310305]), array([ 95.94194476,  81.19277885]), array([ 97.01405549,  82.96771346]), array([ 97.62252784,  84.46860424]), array([ 99.02217627,  85.83015401]), array([ 99.1657888 ,  88.04600845]), array([ 99.56659877,  90.21357649]), array([ 100.87159136,   91.26580289]), array([ 100.7828358 ,   93.32845082]), array([ 102.22180193,   93.40867504]), array([ 104.24076086,   94.66760192]), array([ 105.35651826,   96.05566775]), array([ 106.27599278,   98.80339729])]","[31, 99]"
